1 weevil detection(s) on | Sun Mar 21 19:03:59 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 108 
1 weevil detection(s) on | Sun Mar 21 19:04:00 2021 | confidence: 0.95 x=1034 y= 377 ImageNr: 109 
1 weevil detection(s) on | Sun Mar 21 19:04:01 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 110 
1 weevil detection(s) on | Sun Mar 21 19:04:01 2021 | confidence: 0.83 x=1462 y= 570 ImageNr: 111 
1 weevil detection(s) on | Sun Mar 21 19:04:02 2021 | confidence: 0.96 x=1033 y= 378 ImageNr: 112 
1 weevil detection(s) on | Sun Mar 21 19:04:03 2021 | confidence: 0.96 x=1033 y= 377 ImageNr: 113 
1 weevil detection(s) on | Sun Mar 21 19:04:04 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 114 
1 weevil detection(s) on | Sun Mar 21 19:04:05 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 115 
1 weevil detection(s) on | Sun Mar 21 19:04:06 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 116 
1 weevil detection(s) on | Sun Mar 21 19:04:07 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 117 
1 weevil detection(s) on | Sun Mar 21 19:04:09 2021 | confidence: 0.96 x=1033 y= 378 ImageNr: 118 
1 weevil detection(s) on | Sun Mar 21 19:04:10 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 119 
1 weevil detection(s) on | Sun Mar 21 19:04:11 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 120 
1 weevil detection(s) on | Sun Mar 21 19:04:12 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 121 
1 weevil detection(s) on | Sun Mar 21 19:04:13 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 122 
1 weevil detection(s) on | Sun Mar 21 19:04:14 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 123 
